Name,State,Term,Party
"GRISWOLD, Roger",Connecticut,4th Congress (1795-1797),Federalist
"DANA, Samuel Whittlesey",Connecticut,4th Congress (1795-1797),Federalist
"GOODHUE, Benjamin",Massachusetts,4th Congress (1795-1797),Federalist
"HINDMAN, William",Maryland,4th Congress (1795-1797),Federalist
"DAVENPORT, James",Connecticut,4th Congress (1795-1797),Federalist
"SEDGWICK, Theodore",Massachusetts,4th Congress (1795-1797),Federalist
"THACHER, George",Massachusetts,4th Congress (1795-1797),Federalist
"LEONARD, George",Massachusetts,4th Congress (1795-1797),Federalist
"AMES, Fisher",Massachusetts,4th Congress (1795-1797),Federalist
"SITGREAVES, Samuel",Pennsylvania,4th Congress (1795-1797),Federalist
"DUVALL, Gabriel",Maryland,4th Congress (1795-1797),Democrat-Republican
"SUMTER, Thomas",South Carolina,5th Congress (1797-1799),Democrat-Republican
